	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
205	Serpinb1a	1145.69183620471	-2.23912591521446	0.375181812270842	-5.9681089060843	2.4001915091411703e-09	1.74841134884332e-07
206	Zbtb42	157.247212634168	-1.97348984600856	0.330975408926217	-5.96264795747558	2.4818274857667404e-09	1.79914508460945e-07
207	Reps2	149.924503712261	-2.12483566131326	0.356778943581781	-5.95560836629419	2.59106140333761e-09	1.86930131819636e-07
208	Enho	52.2107934187292	-2.56357340680349	0.430859685792468	-5.9499031618342	2.68301181369328e-09	1.92637680747757e-07
209	Prmt1	417.945076614013	1.47121565563015	0.247767285240479	5.93789310885901	2.8870816610830804e-09	2.06302606696251e-07
210	Nucb2	4562.07523572868	-2.57658180948143	0.434859133454518	-5.9250953038817	3.1211632335277302e-09	2.21972395650792e-07
211	Hells	147.974339134155	2.95093012084877	0.498353571100567	5.9213584329935	3.1929309432008e-09	2.26005291196562e-07
212	Rcc1	160.232801927418	2.57078749866511	0.434430376940272	5.91760529448096	3.2666273557893402e-09	2.29060794864368e-07
213	Reg3g	334.231719240806	2.01484097814496	0.340457156621832	5.91804560120608	3.2578965117205804e-09	2.29060794864368e-07
214	Mpv17l	172.204852097305	-1.76401926989036	0.29848518950923	-5.90990552258476	3.4230399878467603e-09	2.38912270035481e-07
215	Tex49	131.873187608696	-2.55908867612559	0.433607740666156	-5.90185191849674	3.5944372470412202e-09	2.49713543190281e-07
216	Spc25	119.942237471085	2.17775793160811	0.369493673888146	5.89389774577674	3.77190633474714e-09	2.60835144973343e-07
217	Klb	211.297822710867	-2.30049433598303	0.390668524154184	-5.8886093804555	3.89458748002035e-09	2.68083393234795e-07
218	Pdia2	41387.35473057	-2.77133713936597	0.471136308561741	-5.88224063610413	4.0474929520258205e-09	2.77336434877167e-07
219	Shank1	59.3572017142448	-3.65084110164489	0.620880717636527	-5.88010063437362	4.10017124700693e-09	2.79668953329936e-07
220	Ruvbl2	280.136433064665	1.72788564423707	0.293953696430063	5.87808782546867	4.1503271833758104e-09	2.81809093727319e-07
221	Cldn18	40.4319188708787	7.49916186878833	1.27603814678721	5.87691041029579	4.17994274595263e-09	2.82541535341284e-07
